loss,id
1529.87573242,4
1961.06225586,6
9274.8203125,9
5475.37695312,12
801.638427734,15
2345.8449707,17
2103.67724609,21
840.60144043,28
2430.53076172,32
2973.91845703,43
2957.98876953,46
937.666015625,50
1246.00219727,54
1964.77929688,62
2297.25756836,70
5209.11328125,71
2069.24389648,75
2344.32202148,77
2574.09301758,81
2352.30419922,83
1968.46362305,87
1426.89526367,97
1224.12780762,103
1098.34191895,119
1857.13061523,120
967.28527832,127
4474.31835938,138
3775.81420898,141
659.999450684,148
2457.27392578,150
2155.62011719,151
1598.92333984,158
5584.38964844,160
2827.32958984,165
3814.03051758,168
3972.89648438,169
2725.27685547,177
2883.28979492,178
2114.10766602,184
9464.00683594,194
1819.56164551,198
3536.8449707,203
2463.78955078,211
1245.11096191,217
1324.01196289,219
4614.91210938,221
1690.45324707,227
1582.50427246,230
2252.12768555,235
688.767700195,240
3097.95239258,243
7070.81396484,249
2776.32495117,253
1489.52758789,258
1596.38354492,261
3527.12524414,263
2555.12719727,264
4515.96923828,265
1853.5456543,268
1034.69628906,271
5943.98876953,274
698.531005859,275
1397.65429688,279
1647.72937012,282
3136.72583008,286
1062.07739258,288
2188.37719727,294
1007.69848633,296
1416.67651367,297
814.86907959,300
8649.01367188,303
1109.02856445,314
4487.36230469,315
2565.33007812,321
4229.5078125,323
3921.50097656,330
1774.46972656,341
4232.77050781,342
1600.97119141,352
3798.74755859,353
4724.015625,360
2209.17749023,361
4329.02734375,362
1358.36022949,366
3448.12695312,372
2668.6394043,376
2353.72851562,377
1582.61816406,379
4034.99365234,380
1819.53088379,387
2013.36572266,392
10927.7988281,394
1533.67175293,395
1486.78186035,397
5733.84082031,407
9185.74121094,411
2598.8918457,416
1555.15856934,417
3805.25854492,419
5872.36279297,428
1761.66650391,431
8194.10546875,436
1614.48632812,438
6716.89648438,445
6696.24121094,446
1260.00244141,455
1338.38745117,456
922.954467773,461
1914.53051758,463
3695.71118164,464
1698.98828125,466
1357.01062012,467
1293.09240723,470
1448.80554199,475
3378.15942383,482
3513.94018555,490
1766.11657715,496
4061.79101562,497
2930.56665039,508
1825.90905762,510
1904.08740234,512
3384.38916016,513
1714.73022461,523
4698.06884766,531
2305.74560547,532
1377.36816406,533
1208.26867676,537
4546.39794922,544
2540.40405273,547
7733.10546875,556
1364.69750977,565
1219.87573242,566
1460.86352539,571
1690.25939941,573
948.798706055,574
2030.43603516,581
1966.88110352,585
2025.7199707,589
1725.01281738,597
3695.8449707,601
1746.14367676,602
1575.30603027,613
1483.38464355,616
2140.77172852,619
2145.00244141,622
1859.45581055,623
1575.06726074,629
1570.47460938,634
969.436401367,638
1151.64135742,642
2043.1015625,643
979.816162109,645
6333.60253906,648
1228.19116211,652
1064.87109375,664
2183.4465332,666
880.472412109,672
2143.22631836,676
4247.4765625,678
1886.94775391,682
2706.60620117,686
2239.30761719,688
1286.37243652,689
1709.49487305,690
11324.8251953,692
1684.32348633,695
3888.30029297,697
2047.53833008,698
2484.99829102,706
1429.8046875,708
2915.13354492,712
4358.98046875,715
1350.55371094,717
3137.10766602,725
1111.39831543,729
1465.83813477,737
5791.78662109,739
3312.11865234,747
2728.96459961,753
2098.38525391,758
2158.37036133,759
1462.18737793,763
4196.24462891,773
2043.57641602,774
1549.72790527,776
3194.58959961,788
2792.58520508,790
1022.83679199,794
2843.02392578,801
1505.86853027,802
1293.14587402,805
5320.203125,809
1652.97387695,812
2333.17626953,825
2374.92871094,828
1513.10791016,830
1215.46276855,833
5822.42431641,850
6256.00585938,852
1419.44250488,862
1324.35717773,863
1431.88793945,864
3560.58325195,865
6285.07617188,868
1481.94433594,872
5267.64160156,879
1507.1192627,880
1243.12634277,883
1441.46691895,886
1805.6003418,923
1424.47509766,924
1462.88024902,932
5869.05078125,945
6720.40039062,947
2284.11401367,948
2678.05908203,955
4165.40332031,963
1592.10998535,979
1497.84362793,989
3102.20410156,994
1858.59082031,995
1324.28295898,998
4187.67480469,1000
1692.56201172,1018
1686.53869629,1019
1737.96850586,1028
1304.38891602,1034
1552.06140137,1038
1296.58728027,1040
1359.40759277,1042
7139.96044922,1057
2233.53808594,1058
1017.9230957,1063
4538.26171875,1066
4279.31591797,1071
4009.41699219,1073
3026.17333984,1074
2818.88793945,1077
9611.3828125,1080
868.332275391,1088
799.585327148,1096
11709.9785156,1097
5642.0234375,1105
1886.51391602,1115
2962.50634766,1116
2201.75073242,1122
4861.69726562,1130
1013.84838867,1133
1846.1932373,1137
2059.23950195,1140
7669.125,1143
5172.90869141,1149
949.180053711,1150
759.617431641,1153
895.086425781,1157
646.265625,1180
873.880981445,1183
1684.72961426,1188
1092.86706543,1193
756.827514648,1200
4079.39355469,1209
2030.68798828,1214
2059.3515625,1219
6222.69677734,1223
840.619262695,1227
1539.68713379,1228
4587.09277344,1229
967.438964844,1233
6511.890625,1238
1985.5168457,1239
3272.53222656,1241
1732.94519043,1243
1249.81677246,1244
3402.71020508,1245
4403.47851562,1277
3316.40185547,1279
11377.2607422,1292
1401.80554199,1293
10092.3554688,1299
2935.34716797,1304
3689.32617188,1313
2329.02099609,1328
1081.73339844,1330
1536.99243164,1334
1368.23352051,1335
5843.11865234,1336
1000.31091309,1341
1107.25830078,1344
832.228759766,1351
2650.70556641,1352
1498.65576172,1354
4094.43408203,1368
1398.34155273,1373
690.57409668,1375
1581.57800293,1381
4853.04443359,1384
4189.36962891,1385
5828.02685547,1388
5494.16748047,1401
2531.57568359,1402
1506.2565918,1404
1482.01098633,1406
1104.0513916,1409
1434.55212402,1422
3277.53662109,1429
5738.04101562,1433
1084.50622559,1438
1185.46203613,1444
1106.02026367,1446
1148.77380371,1450
752.861816406,1451
1756.03515625,1454
2248.82788086,1458
3418.15625,1461
6281.15625,1464
1049.3125,1465
2013.16088867,1478
1643.0234375,1479
2755.20703125,1480
2291.80859375,1484
943.588989258,1486
898.232910156,1488
3407.60620117,1489
1006.78894043,1491
2150.54833984,1507
1945.140625,1515
2856.36181641,1519
1767.28686523,1528
999.053466797,1529
2890.79125977,1530
1209.70776367,1532
1658.71618652,1541
3408.97924805,1542
1369.28674316,1547
1131.15197754,1549
2223.12963867,1553
2907.94067383,1554
1330.94226074,1555
1604.98864746,1559
1496.71459961,1565
1116.01123047,1568
3599.25170898,1576
990.265991211,1579
894.084350586,1592
3220.53173828,1596
921.337402344,1605
1602.39733887,1607
2256.54321289,1612
3064.71923828,1617
2330.88354492,1619
8094.99804688,1620
2561.8684082,1624
1377.22753906,1627
1686.79064941,1633
1254.57531738,1636
1115.11047363,1639
5025.31201172,1640
1142.11437988,1644
1445.71704102,1646
2657.41894531,1647
1266.73327637,1654
3176.34790039,1655
6278.92578125,1664
2088.89868164,1665
4846.71142578,1667
1170.01062012,1669
2166.30712891,1678
1992.0222168,1682
1026.42224121,1689
2532.03417969,1690
5278.73339844,1693
930.676513672,1695
2300.48681641,1705
2472.37719727,1706
1952.7512207,1708
1981.78198242,1716
9026.71191406,1720
1550.07666016,1722
3975.32080078,1749
1669.04724121,1750
5686.82128906,1751
2892.88476562,1760
4028.46826172,1763
1478.24316406,1770
2100.26342773,1777
5872.92431641,1785
1183.68273926,1791
4545.74609375,1794
1241.27307129,1800
1307.89367676,1816
1047.23876953,1817
3028.91894531,1821
1458.12329102,1836
1597.69030762,1838
1953.39575195,1851
2849.33959961,1852
2342.91137695,1854
805.119140625,1856
785.272338867,1865
1052.18005371,1872
819.755432129,1878
929.495849609,1880
1391.50146484,1881
1777.22460938,1882
876.323730469,1886
1518.31103516,1892
2218.1027832,1894
2512.93164062,1898
2938.53320312,1899
1168.59240723,1902
3891.94750977,1903
1197.42468262,1906
2361.47021484,1910
1847.84472656,1911
3400.52563477,1914
3002.15405273,1929
1385.58178711,1932
998.78137207,1952
1324.4967041,1959
1748.64807129,1960
4315.36474609,1976
2958.64526367,1980
2010.97949219,1981
2258.74291992,1987
1634.96472168,1994
824.41027832,2000
2312.75952148,2008
2266.41308594,2011
5234.89501953,2012
1686.38671875,2019
3636.43310547,2022
7649.62988281,2024
929.89453125,2028
4006.05810547,2030
6737.30957031,2031
1735.9005127,2047
675.316650391,2049
1498.7286377,2050
4400.24365234,2051
1706.90625,2056
1000.38806152,2057
2156.21777344,2059
3864.1015625,2069
