loss,id
1492.0357666,4
2032.71533203,6
9493.06347656,9
5906.64941406,12
807.96862793,15
2301.2512207,17
2096.32788086,21
847.280761719,28
2541.35693359,32
3226.54248047,43
3067.42895508,46
977.684814453,50
1195.80383301,54
1919.89941406,62
2295.6184082,70
4852.92382812,71
2026.33227539,75
2163.02026367,77
2589.8190918,81
2360.55810547,83
2003.46704102,87
1578.13647461,97
1212.89086914,103
1168.35290527,119
1739.33105469,120
977.286743164,127
4333.95849609,138
3871.31689453,141
717.42590332,148
2460.8190918,150
2154.90478516,151
1578.55712891,158
5265.77539062,160
2771.64233398,165
3665.60839844,168
3906.71728516,169
2738.06518555,177
2993.28881836,178
2107.37988281,184
10054.3417969,194
1858.18359375,198
3418.71533203,203
2476.78735352,211
1208.27001953,217
1372.91491699,219
5022.67138672,221
1806.16186523,227
1590.80810547,230
2103.78808594,235
687.112243652,240
3055.39208984,243
7588.58837891,249
2865.51635742,253
1444.87133789,258
1701.29064941,261
3675.69677734,263
2583.89355469,264
4334.31738281,265
1782.00378418,268
1046.70898438,271
5640.07373047,274
686.518493652,275
1460.08203125,279
1663.62744141,282
3206.41333008,286
1079.75109863,288
2038.33520508,294
999.443481445,296
1345.6940918,297
823.744689941,300
8663.32128906,303
1089.58410645,314
4461.62207031,315
2472.12109375,321
4107.02587891,323
3737.54858398,330
1807.60009766,341
4330.39257812,342
1583.36120605,352
3422.88671875,353
4832.90771484,360
2299.04321289,361
4130.31640625,362
1343.09082031,366
3346.66601562,372
2609.95751953,376
2376.45166016,377
1611.5020752,379
3965.14746094,380
1845.77075195,387
2068.22485352,392
11485.7578125,394
1582.65039062,395
1485.1072998,397
5621.44580078,407
8193.03320312,411
2552.45751953,416
1546.58435059,417
3932.70263672,419
5667.66894531,428
1754.39697266,431
8007.57324219,436
1577.96948242,438
6566.4296875,445
6824.40136719,446
1228.01403809,455
1371.88928223,456
915.850463867,461
1849.29443359,463
3775.79907227,464
1609.17736816,466
1359.36291504,467
1198.04919434,470
1447.06970215,475
3226.16357422,482
3697.04882812,490
1822.00817871,496
4146.27832031,497
2694.23925781,508
1819.65991211,510
1770.64904785,512
3511.95727539,513
1762.94555664,523
4709.06347656,531
2340.02832031,532
1334.3515625,533
1176.2779541,537
4564.15722656,544
2574.07324219,547
7809.07714844,556
1350.22253418,565
1189.96105957,566
1405.92150879,571
1722.47460938,573
937.327026367,574
2107.19165039,581
2017.67480469,585
1959.36181641,589
1618.19836426,597
3650.78369141,601
1756.40722656,602
1587.33679199,613
1468.4519043,616
2140.58984375,619
2228.42138672,622
1937.94360352,623
1571.11132812,629
1541.78808594,634
966.818481445,638
1072.46740723,642
2048.65844727,643
970.508056641,645
6647.39160156,648
1197.69799805,652
1050.39416504,664
2223.03369141,666
896.651489258,672
2176.99072266,676
4185.98486328,678
1910.96728516,682
2936.89941406,686
2250.93652344,688
1269.90710449,689
1746.8425293,690
11614.9052734,692
1645.28161621,695
3833.89746094,697
2030.07861328,698
2797.72094727,706
1488.68188477,708
3000.01098633,712
4394.00097656,715
1337.70751953,717
3274.2019043,725
1115.86560059,729
1401.8269043,737
5665.16796875,739
3468.59960938,747
2734.34790039,753
2225.31079102,758
2184.24682617,759
1497.09484863,763
4362.35107422,773
1995.52954102,774
1479.64331055,776
